Model,Price,Image_url
Samsung Galaxy A32 A325FD 6/128GB Blue,759 ₾,https://img.zoommer.ge/zoommer-images/thumbs/0142624_samsung-galaxy-a32-a325fd-6128gb-blue_220.jpeg
Samsung Galaxy A52 A525FD 8/128GB Black,999 ₾,https://img.zoommer.ge/zoommer-images/thumbs/0160201_samsung-galaxy-a52-a525fd-8128gb-black_220.jpeg
Samsung Galaxy A32 A325FD 6/128GB Black,759 ₾,https://img.zoommer.ge/zoommer-images/thumbs/0142623_samsung-galaxy-a32-a325fd-6128gb-black_220.jpeg
Samsung Galaxy S22 Ultra 5G S908E/DS 8/128 Burg...,3 699 ₾,
Samsung Galaxy S21 Ultra 5G G996BD 12/256GB Black,3 599 ₾,https://img.zoommer.ge/zoommer-images/thumbs/0135151_samsung-galaxy-s21-ultra-5g-g996bd-12256gb-black_220.png
Samsung Galaxy A52 A525FD 4/128GB Black,899 ₾,https://img.zoommer.ge/zoommer-images/thumbs/0140850_samsung-galaxy-a52-a525fd-4128gb-black_220.jpeg
Samsung Galaxy A22 A225FD 4/64GB Black,659 ₾,https://img.zoommer.ge/zoommer-images/thumbs/0150297_samsung-galaxy-a22-a225fd-464gb-black_220.jpeg
Samsung Galaxy S20 FE G780FD 8/128GB Navy,1 599 ₾,https://img.zoommer.ge/zoommer-images/thumbs/0129860_samsung-galaxy-s20-fe-g780fd-8128gb-navy_220.png
Samsung Galaxy A12 A127FD 4/64GB Black,549 ₾,https://img.zoommer.ge/zoommer-images/thumbs/0154644_samsung-galaxy-a12-a127fd-464gb-black_220.jpeg
Samsung Galaxy A12 A127FD 4/128GB Black,599 ₾,https://img.zoommer.ge/zoommer-images/thumbs/0154659_samsung-galaxy-a12-a127fd-4128gb-black_220.jpeg
Samsung Galaxy A32 A325FD 6/128GB Violet,759 ₾,https://img.zoommer.ge/zoommer-images/thumbs/0142846_samsung-galaxy-a32-a325fd-6128gb-violet_220.jpeg
Samsung Galaxy S22 Ultra 5G S908E/DS 8/128 Phan...,3 699 ₾,
Samsung Galaxy A13 A135FD 4/64GB Black,509 ₾,
Samsung Galaxy S21 FE 5G 6/128GB Lavender,1 899 ₾,https://img.zoommer.ge/zoommer-images/thumbs/0163982_samsung-galaxy-s21-fe-5g-6128gb-lavender_220.jpeg
Samsung Galaxy A52S A528B/DS 5G 8/128GB Black,1 299 ₾,https://img.zoommer.ge/zoommer-images/thumbs/0154689_samsung-galaxy-a52s-a528bds-5g-8128gb-black_220.jpeg
Samsung Galaxy A52 A525FD 4/128GB Violet,899 ₾,https://img.zoommer.ge/zoommer-images/thumbs/0142795_samsung-galaxy-a52-a525fd-4128gb-violet_220.jpeg
Samsung Galaxy S21 FE 5G 6/128GB Graphite,1 899 ₾,https://img.zoommer.ge/zoommer-images/thumbs/0163981_samsung-galaxy-s21-fe-5g-6128gb-graphite_220.jpeg
Samsung Galaxy A03s A037FD 3/32GB Black,459 ₾,https://img.zoommer.ge/zoommer-images/thumbs/0153526_samsung-galaxy-a03s-a037fd-332gb-black_220.jpeg
Samsung Galaxy A12 A127FD 3/32GB Black,479 ₾,https://img.zoommer.ge/zoommer-images/thumbs/0154636_samsung-galaxy-a12-a127fd-332gb-black_220.jpeg
Samsung Galaxy A22 A225FD 4/128GB Black,749 ₾,https://img.zoommer.ge/zoommer-images/thumbs/0148611_samsung-galaxy-a22-a225fd-4128gb-black_220.jpeg
Samsung Galaxy S22 Ultra 5G S908E/DS 12/256 Pha...,3 999 ₾,
Samsung Galaxy A32 A325FD 4/64GB Blue,659 ₾,https://img.zoommer.ge/zoommer-images/thumbs/0140808_samsung-galaxy-a32-a325fd-464gb-blue_220.jpeg
Samsung Galaxy A52 A525FD 8/128GB Violet,999 ₾,https://img.zoommer.ge/zoommer-images/thumbs/0160208_samsung-galaxy-a52-a525fd-8128gb-violet_220.jpeg
Samsung Galaxy S22 Ultra 5G S908E/DS 12/256 Bur...,3 999 ₾,
Samsung Galaxy S21 FE 5G 8/256GB Graphite,2 099 ₾,https://img.zoommer.ge/zoommer-images/thumbs/0161926_samsung-galaxy-s21-fe-5g-8256gb-graphite_220.jpeg
Samsung Galaxy S22 5G S901E/DS 8/128 Green,2 599 ₾,https://img.zoommer.ge/zoommer-images/thumbs/0163968_samsung-galaxy-s22-5g-s901eds-8128-green_220.jpeg
Samsung Galaxy A03s A037FD 4/64GB Black,499 ₾,https://img.zoommer.ge/zoommer-images/thumbs/0153795_samsung-galaxy-a03s-a037fd-464gb-black_220.jpeg
Samsung Galaxy A13 A135FD 4/64GB Peach,509 ₾,
Samsung Galaxy A32 A325FD 6/128GB White,759 ₾,https://img.zoommer.ge/zoommer-images/thumbs/0142850_samsung-galaxy-a32-a325fd-6128gb-white_220.jpeg
Samsung Galaxy A72 A725FD 8/128GB Black,1 499 ₾,https://img.zoommer.ge/zoommer-images/thumbs/0141638_samsung-galaxy-a72-a725fd-8128gb-black_220.jpeg
Samsung Galaxy A13 A135FD 3/32GB Black,459 ₾,
Samsung Galaxy A23 A235FD 6/128GB Black,789 ₾,
Samsung Galaxy S21 Ultra 5G G996BD 12/256GB Silver,3 599 ₾,https://img.zoommer.ge/zoommer-images/thumbs/0135158_samsung-galaxy-s21-ultra-5g-g996bd-12256gb-silver_220.png
Samsung Galaxy S20 FE G780FD 8/128GB Lavender,1 599 ₾,https://img.zoommer.ge/zoommer-images/thumbs/0138048_samsung-galaxy-s20-fe-g780fd-8128gb-lavender_220.png
Samsung Galaxy A52S A528B/DS 5G 8/256GB Black,1 499 ₾,https://img.zoommer.ge/zoommer-images/thumbs/0154702_samsung-galaxy-a52s-a528bds-5g-8256gb-black_220.jpeg
Samsung Galaxy A13 A135FD 4/64GB Blue,509 ₾,
Samsung Galaxy A22 A225FD 4/64GB Violet,659 ₾,https://img.zoommer.ge/zoommer-images/thumbs/0152073_samsung-galaxy-a22-a225fd-464gb-violet_220.jpeg
Samsung Galaxy A52 A525FD 8/128GB Blue,999 ₾,https://img.zoommer.ge/zoommer-images/thumbs/0160202_samsung-galaxy-a52-a525fd-8128gb-blue_220.jpeg
Samsung Galaxy A32 A325FD 4/64GB Black,659 ₾,https://img.zoommer.ge/zoommer-images/thumbs/0140805_samsung-galaxy-a32-a325fd-464gb-black_220.jpeg
Samsung Galaxy S22 5G S901E/DS 8/128 Pink Gold,2 599 ₾,https://img.zoommer.ge/zoommer-images/thumbs/0163966_samsung-galaxy-s22-5g-s901eds-8128-pink-gold_220.jpeg
